2026-04-02 16:23:58.007 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-02 20:41:28.562 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25 ms. Found 0 Redis repository interfaces.
2026-04-02 20:41:29.403 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 7070 (http)
2026-04-02 20:41:29.418 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7070"]
2026-04-02 20:41:29.419 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-02 20:41:29.420 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.48]
2026-04-02 20:41:29.539 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-02 20:41:29.539 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1740 ms
2026-04-02 20:41:31.669 [main] INFO  o.a.r.s.a.RocketMQAutoConfiguration - a producer (order-create-producer-group) init on namesrv 127.0.0.1:9876
2026-04-02 20:41:32.138 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7070"]
2026-04-02 20:41:32.152 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 7070 (http) with context path '/'
2026-04-02 20:41:32.160 [main] INFO  com.example.ServerApplication - Started ServerApplication in 5.007 seconds (process running for 5.978)
2026-04-02 20:49:56.707 [http-nio-7070-exec-1] INFO  o.a.tomcat.util.http.parser.Cookie - A cookie header was received [ECS[visit_times]=2;] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
2026-04-02 20:49:56.720 [http-nio-7070-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-02 20:49:56.721 [http-nio-7070-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-02 20:49:56.723 [http-nio-7070-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-04-02 20:49:56.957 [http-nio-7070-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-04-02 20:49:57.795 [http-nio-7070-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@537cb73a
2026-04-02 20:49:57.797 [http-nio-7070-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-04-02 20:49:58.044 [http-nio-7070-exec-1] INFO  c.e.c.admin.EmployeeController - EmployeeLoginVO(id=1, userName=admin, name=管理员, token=eyJhbGciOiJIUzI1NiJ9.eyJlbXBJZCI6MSwiZXhwIjoxNzc1MTc3Mzk3fQ.Z4G1QX7bjLrjYQoBE3HgB2GGV2Y-f6u68ZdZam-pymM)
2026-04-02 20:49:58.259 [http-nio-7070-exec-4] INFO  c.e.c.admin.WorkSpaceController - begin:2026-04-02T00:00
2026-04-02 20:54:39.715 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-04-02 20:54:39.723 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-04-02 20:54:42.339 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-04-02 20:54:42.345 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-04-02 20:54:45.994 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-02 20:54:46.039 [main] INFO  com.example.ServerApplication - Starting ServerApplication using Java 22.0.2 with PID 27028 (D:\code\java_project\CangQiong Takeout\CangqiongTakeout\Server\target\classes started by liang in D:\code\java_project\CangQiong Takeout\CangqiongTakeout\parent)
2026-04-02 20:54:46.040 [main] INFO  com.example.ServerApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-02 20:54:46.856 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-02 20:54:46.858 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-02 20:54:46.901 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 23 ms. Found 0 Redis repository interfaces.
2026-04-02 20:54:47.788 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 7070 (http)
2026-04-02 20:54:47.803 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7070"]
2026-04-02 20:54:47.805 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-02 20:54:47.805 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.48]
2026-04-02 20:54:47.934 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-02 20:54:47.935 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1853 ms
2026-04-02 20:54:49.426 [main] INFO  o.a.r.s.a.RocketMQAutoConfiguration - a producer (order-create-producer-group) init on namesrv 127.0.0.1:9876
2026-04-02 20:54:49.841 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7070"]
2026-04-02 20:54:49.854 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 7070 (http) with context path '/'
2026-04-02 20:54:49.863 [main] INFO  com.example.ServerApplication - Started ServerApplication in 4.515 seconds (process running for 5.649)
2026-04-02 20:55:11.459 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-04-02 20:55:11.465 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-04-02 20:55:19.016 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-02 20:55:19.067 [main] INFO  com.example.ServerApplication - Starting ServerApplication using Java 22.0.2 with PID 28008 (D:\code\java_project\CangQiong Takeout\CangqiongTakeout\Server\target\classes started by liang in D:\code\java_project\CangQiong Takeout\CangqiongTakeout\parent)
2026-04-02 20:55:19.068 [main] INFO  com.example.ServerApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-02 20:55:19.834 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-02 20:55:19.837 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-02 20:55:19.878 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25 ms. Found 0 Redis repository interfaces.
2026-04-02 20:55:20.642 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 7070 (http)
2026-04-02 20:55:20.656 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7070"]
2026-04-02 20:55:20.657 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-02 20:55:20.657 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.48]
2026-04-02 20:55:20.762 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-02 20:55:20.762 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1650 ms
2026-04-02 20:55:22.205 [main] INFO  o.a.r.s.a.RocketMQAutoConfiguration - a producer (order-create-producer-group) init on namesrv 127.0.0.1:9876
2026-04-02 20:55:22.545 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7070"]
2026-04-02 20:55:22.555 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 7070 (http) with context path '/'
2026-04-02 20:55:22.563 [main] INFO  com.example.ServerApplication - Started ServerApplication in 4.152 seconds (process running for 5.205)
2026-04-02 20:55:32.481 [http-nio-7070-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-02 20:55:32.481 [http-nio-7070-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-02 20:55:32.483 [http-nio-7070-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-04-02 20:55:33.187 [http-nio-7070-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-04-02 20:55:33.635 [http-nio-7070-exec-2] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@295a980a
2026-04-02 20:55:33.637 [http-nio-7070-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-04-02 20:58:17.597 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-04-02 20:58:17.603 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-04-02 20:58:19.366 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-04-02 20:58:19.373 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-04-02 20:58:25.556 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-02 20:58:25.596 [main] INFO  com.example.ServerApplication - Starting ServerApplication using Java 22.0.2 with PID 10604 (D:\code\java_project\CangQiong Takeout\CangqiongTakeout\Server\target\classes started by liang in D:\code\java_project\CangQiong Takeout\CangqiongTakeout\parent)
2026-04-02 20:58:25.597 [main] INFO  com.example.ServerApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-02 20:58:26.405 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-02 20:58:26.406 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-02 20:58:26.445 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24 ms. Found 0 Redis repository interfaces.
2026-04-02 20:58:27.260 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 7070 (http)
2026-04-02 20:58:27.275 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7070"]
2026-04-02 20:58:27.277 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-02 20:58:27.278 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.48]
2026-04-02 20:58:27.395 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-02 20:58:27.395 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1763 ms
2026-04-02 20:58:28.948 [main] INFO  o.a.r.s.a.RocketMQAutoConfiguration - a producer (order-create-producer-group) init on namesrv 127.0.0.1:9876
2026-04-02 20:58:29.474 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7070"]
2026-04-02 20:58:29.493 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 7070 (http) with context path '/'
2026-04-02 20:58:29.505 [main] INFO  com.example.ServerApplication - Started ServerApplication in 4.5 seconds (process running for 5.544)
2026-04-02 20:58:45.671 [http-nio-7070-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-02 20:58:45.671 [http-nio-7070-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-02 20:58:45.672 [http-nio-7070-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-04-02 21:10:01.545 [http-nio-7070-exec-8] INFO  o.a.tomcat.util.http.parser.Cookie - A cookie header was received [ECS[visit_times]=2;] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
2026-04-02 21:10:02.765 [http-nio-7070-exec-7] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-04-02 21:10:03.114 [http-nio-7070-exec-7] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@a6d3d2a
2026-04-02 21:10:03.116 [http-nio-7070-exec-7] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-04-02 21:49:08.939 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-04-02 21:49:08.948 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-04-02 21:49:11.965 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-04-02 21:49:11.972 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-04-02 21:49:31.567 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-02 21:49:31.619 [main] INFO  com.example.ServerApplication - Starting ServerApplication using Java 22.0.2 with PID 33632 (D:\code\java_project\CangQiong Takeout\CangqiongTakeout\Server\target\classes started by liang in D:\code\java_project\CangQiong Takeout\CangqiongTakeout\parent)
2026-04-02 21:49:31.620 [main] INFO  com.example.ServerApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-02 21:49:32.498 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-02 21:49:32.500 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-02 21:49:32.542 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 23 ms. Found 0 Redis repository interfaces.
2026-04-02 21:49:33.523 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 7070 (http)
2026-04-02 21:49:33.539 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7070"]
2026-04-02 21:49:33.540 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-02 21:49:33.540 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.48]
2026-04-02 21:49:33.703 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-02 21:49:33.704 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2041 ms
2026-04-02 21:49:35.523 [main] INFO  o.a.r.s.a.RocketMQAutoConfiguration - a producer (order-create-producer-group) init on namesrv 127.0.0.1:9876
2026-04-02 21:49:35.959 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7070"]
2026-04-02 21:49:35.971 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 7070 (http) with context path '/'
2026-04-02 21:49:35.982 [main] INFO  com.example.ServerApplication - Started ServerApplication in 5.054 seconds (process running for 21.709)
2026-04-02 21:49:39.919 [http-nio-7070-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-02 21:49:39.919 [http-nio-7070-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-02 21:49:39.921 [http-nio-7070-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-04-02 21:49:40.122 [http-nio-7070-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-04-02 21:49:40.473 [http-nio-7070-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@66cda144
2026-04-02 21:49:40.474 [http-nio-7070-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-04-02 21:50:32.840 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-04-02 21:50:32.846 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-04-02 21:50:35.718 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-04-02 21:50:35.726 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-04-02 21:50:41.127 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-02 21:50:41.177 [main] INFO  com.example.ServerApplication - Starting ServerApplication using Java 22.0.2 with PID 31000 (D:\code\java_project\CangQiong Takeout\CangqiongTakeout\Server\target\classes started by liang in D:\code\java_project\CangQiong Takeout\CangqiongTakeout\parent)
2026-04-02 21:50:41.178 [main] INFO  com.example.ServerApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-02 21:50:42.139 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-02 21:50:42.143 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-02 21:50:42.192 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 27 ms. Found 0 Redis repository interfaces.
2026-04-02 21:50:43.353 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 7070 (http)
2026-04-02 21:50:43.377 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7070"]
2026-04-02 21:50:43.379 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-02 21:50:43.380 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.48]
2026-04-02 21:50:43.535 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-02 21:50:43.536 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2307 ms
2026-04-02 21:50:45.773 [main] INFO  o.a.r.s.a.RocketMQAutoConfiguration - a producer (order-create-producer-group) init on namesrv 127.0.0.1:9876
2026-04-02 21:50:46.279 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7070"]
2026-04-02 21:50:46.294 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 7070 (http) with context path '/'
2026-04-02 21:50:46.304 [main] INFO  com.example.ServerApplication - Started ServerApplication in 5.83 seconds (process running for 7.256)
2026-04-02 21:50:46.421 [http-nio-7070-exec-3] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-02 21:50:46.422 [http-nio-7070-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-02 21:50:46.422 [http-nio-7070-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2026-04-02 21:50:46.590 [http-nio-7070-exec-3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
